id,label,shape,color
AH2YN,AH2 YN,circle,BLUE
AH4YN,AH4 YN,circle,BLUE
AH5YN,AH5 YN,circle,BLUE
AH6YN,AH6 YN,circle,BLUE
AH7YN,AH7 YN,circle,BLUE
AH9YN,AH9 YN,circle,BLUE
AH10YN,AH10 YN,circle,BLUE
AH11YN,AH11 YN,circle,BLUE
AH12YN,AH12 YN,circle,BLUE
AH13YN,AH13 YN,circle,BLUE
AH15YN,AH15 YN,circle,BLUE
AH16YN,AH16 YN,circle,BLUE
AH17YN,AH17 YN,circle,BLUE
AH18YN,AH18 YN,circle,BLUE
AH19YN,AH19 YN,circle,BLUE
AH21YN,AH21 YN,circle,BLUE
AH22YN,AH22 YN,circle,BLUE
AH23YN,AH23 YN,circle,BLUE
AH24YN,AH24 YN,circle,BLUE
AH26YN,AH26 YN,circle,BLUE
AH29YN,AH29 YN,circle,BLUE
AH31YN,AH31 YN,circle,BLUE
AH32YN,AH32 YN,circle,BLUE
AH33YN,AH33 YN,circle,BLUE
AH34YN,AH34 YN,circle,BLUE
AH36YN,AH36 YN,circle,BLUE
AH37YN,AH37 YN,circle,BLUE
AH38YN,AH38 YN,circle,BLUE
AH39YN,AH39 YN,circle,BLUE
AH4YN2,AH4 YN2,circle,YELLOW
AH5YN2,AH5 YN2,circle,YELLOW
AH6YN2,AH6 YN2,circle,YELLOW
AH7YN2,AH7 YN2,circle,YELLOW
AH10YN2,AH10 YN2,circle,YELLOW
AH11YN2,AH11 YN2,circle,YELLOW
AH12YN2,AH12 YN2,circle,YELLOW
AH13YN2,AH13 YN2,circle,YELLOW
AH14YN2,AH14 YN2,circle,YELLOW
AH15YN2,AH15 YN2,circle,YELLOW
AH20YN2,AH20 YN2,circle,YELLOW
AH21YN2,AH21 YN2,circle,YELLOW
AH22YN2,AH22 YN2,circle,YELLOW
AH23YN2,AH23 YN2,circle,YELLOW
AH24YN2,AH24 YN2,circle,YELLOW
AH25YN2,AH25 YN2,circle,YELLOW
AH28YN2,AH28 YN2,circle,YELLOW
AH29YN2,AH29 YN2,circle,YELLOW
AH30YN2,AH30 YN2,circle,YELLOW
AH31YN2,AH31 YN2,circle,YELLOW
AH32YN2,AH32 YN2,circle,YELLOW
AH33YN2,AH33 YN2,circle,YELLOW
AH37YN2,AH37 YN2,circle,YELLOW
AH38YN2,AH38 YN2,circle,YELLOW
AH39YN2,AH39 YN2,circle,YELLOW
AH40YN2,AH40 YN2,circle,YELLOW
AH41YN2,AH41 YN2,circle,YELLOW
AH42YN2,AH42 YN2,circle,YELLOW
AH44YN2,AH44 YN2,circle,YELLOW
AH45YN2,AH45 YN2,circle,YELLOW
AH46YN2,AH46 YN2,circle,YELLOW
AH47YN2,AH47 YN2,circle,YELLOW
AH48YN2,AH48 YN2,circle,YELLOW
AH3YCNT,AH3 YCNT,circle,BLACK
AH5YCNT,AH5 YCNT,circle,BLACK
AH6YCNT,AH6 YCNT,circle,BLACK
AH7YCNT,AH7 YCNT,circle,BLACK
AH8YCNT,AH8 YCNT,circle,BLACK
AH11YCNT,AH11 YCNT,circle,BLACK
AH12YCNT,AH12 YCNT,circle,BLACK
AH13YCNT,AH13 YCNT,circle,BLACK
AH14YCNT,AH14 YCNT,circle,BLACK
AH15YCNT,AH15 YCNT,circle,BLACK
AH21YCNT,AH21 YCNT,circle,BLACK
AH22YCNT,AH22 YCNT,circle,BLACK
AH23YCNT,AH23 YCNT,circle,BLACK
AH24YCNT,AH24 YCNT,circle,BLACK
AH25YCNT,AH25 YCNT,circle,BLACK
AH26YCNT,AH26 YCNT,circle,BLACK
AH29YCNT,AH29 YCNT,circle,BLACK
AH30YCNT,AH30 YCNT,circle,BLACK
AH31YCNT,AH31 YCNT,circle,BLACK
AH32YCNT,AH32 YCNT,circle,BLACK
AH33YCNT,AH33 YCNT,circle,BLACK
AH34YCNT,AH34 YCNT,circle,BLACK
AH39YCNT,AH39 YCNT,circle,BLACK
AH40YCNT,AH40 YCNT,circle,BLACK
AH47YCNT,AH47 YCNT,circle,BLACK
AH49YCNT,AH49 YCNT,circle,BLACK
AH50YCNT,AH50 YCNT,circle,BLACK
AH51YCNT,AH51 YCNT,circle,RED
AH52YCNT,AH52 YCNT,circle,RED
K1YE,K1 YE,circle,RED
K2YE,K2 YE,circle,RED
K3YE,K3 YE,circle,RED
K4YE,K4 YE,circle,RED
K5YE,K5 YE,circle,RED
K7YE,K7 YE,circle,RED
K9YE,K9 YE,circle,RED
K10YE,K10 YE,circle,RED
K11YE,K11 YE,circle,RED
K12YE,K12 YE,circle,RED
K13YE,K13 YE,circle,RED
K14YE,K14 YE,circle,RED
K15YE,K15 YE,circle,RED
K16YE,K16 YE,circle,RED
K17YE,K17 YE,circle,RED
K21YE,K21 YE,circle,RED
K22YE,K22 YE,circle,RED
K23YE,K23 YE,circle,RED
K24YE,K24 YE,circle,RED
K27YE,K27 YE,circle,RED
K31YE,K31 YE,circle,RED
K32YE,K32 YE,circle,RED
K33YE,K33 YE,circle,RED
K34YE,K34 YE,circle,RED
K35YE,K35 YE,circle,RED
K37YE,K37 YE,circle,RED
K38YE,K38 YE,circle,RED
K39YE,K39 YE,circle,RED
K40YE,K40 YE,circle,RED
K41YE,K41 YE,circle,RED
AH4YC,AH4 YC,circle,GREEN
AH5YC,AH5 YC,circle,GREEN
AH6YC,AH6 YC,circle,GREEN
AH7YC,AH7 YC,circle,GREEN
AH8YC,AH8 YC,circle,GREEN
AH9YC,AH9 YC,circle,GREEN
AH11YC,AH11 YC,circle,GREEN
AH12YC,AH12 YC,circle,GREEN
AH13YC,AH13 YC,circle,GREEN
AH14YC,AH14 YC,circle,GREEN
AH15YC,AH15 YC,circle,GREEN
AH21YC,AH21 YC,circle,GREEN
AH22YC,AH22 YC,circle,GREEN
AH23YC,AH23 YC,circle,GREEN
AH24YC,AH24 YC,circle,GREEN
AH26YC,AH26 YC,circle,GREEN
AH29YC,AH29 YC,circle,GREEN
AH30YC,AH30 YC,circle,GREEN
AH31YC,AH31 YC,circle,GREEN
AH32YC,AH32 YC,circle,GREEN
AH33YC,AH33 YC,circle,GREEN
AH34YC,AH34 YC,circle,GREEN
AH35YC,AH35 YC,circle,GREEN
AH39YC,AH39 YC,circle,GREEN
AH40YC,AH40 YC,circle,GREEN
AH41YC,AH41 YC,circle,GREEN
AH42YC,AH42 YC,circle,GREEN
AH43YC,AH43 YC,circle,GREEN
AH45YC,AH45 YC,circle,GREEN
AH46YC,AH46 YC,circle,GREEN
AH47YC,AH47 YC,circle,GREEN
AH48YC,AH48 YC,circle,GREEN
AH49YC,AH49 YC,circle,GREEN
AH50YC,AH50 YC,circle,GREEN
